Control ID,Control Name,CCI,CCI Definition,Status,Risk Level,Assessment Date,Assessor,Comments
AC-14,Permitted Actions Without Identification or Authentication,CCI-000232,"Document and provide supporting rationale in the security plan for the system, user actions not requiring identification and authentication.",,,,,
AC-14,Permitted Actions Without Identification or Authentication,CCI-003695,Defines the user actions that can be performed on the system without identification or authentication consistent with organizational missions/business functions.,,,,,
AC-14(1),Permitted Actions Without Identification or Authentication | Necessary Uses,N/A,No CCIs mapped,,,,,
AC-15,Automated Marking,N/A,No CCIs mapped,,,,,
AC-16,Security and Privacy Attributes,CCI-002256,Defines security attributes having organization-defined types of security attribute values which are associated with information in storage.,,,,,
AC-16,Security and Privacy Attributes,CCI-002257,Defines security attributes having organization-defined types of security attribute values which are associated with information in process.,,,,,
AC-16,Security and Privacy Attributes,CCI-002258,"Defines security attributes, having organization-defined types of security attribute values, which are associated with information in transmission.",,,,,
AC-16,Security and Privacy Attributes,CCI-002259,Defines security attribute values associated with organization-defined types of security attributes for information in storage.,,,,,
AC-16,Security and Privacy Attributes,CCI-002260,Defines security attribute values associated with organization-defined types of security attributes for information in process.,,,,,
AC-16,Security and Privacy Attributes,CCI-002261,Defines security attribute values associated with organization-defined types of security attributes for information in transmission.,,,,,
AC-16,Security and Privacy Attributes,CCI-002262,Provide the means to associate organization-defined types of security attributes having organization-defined security attribute values with information in storage.,,,,,
AC-16,Security and Privacy Attributes,CCI-002263,Provide the means to associate organization-defined types of security attributes having organization-defined security attribute values with information in process.,,,,,
AC-16,Security and Privacy Attributes,CCI-002264,Provide the means to associate organization-defined types of security attributes having organization-defined security attribute values with information in transmission.,,,,,
AC-16,Security and Privacy Attributes,CCI-002265,Ensure that the attribute associations are made and retained with the information.,,,,,
AC-16,Security and Privacy Attributes,CCI-002266,Ensure that the security attribute associations are retained with the information.,,,,,
AC-16,Security and Privacy Attributes,CCI-002267,Defines the security attributes that are permitted for organization-defined systems.,,,,,
AC-16,Security and Privacy Attributes,CCI-002268,Defines the systems for which permitted organization-defined attributes are to be established.,,,,,
AC-16,Security and Privacy Attributes,CCI-002269,Establish the following permitted organization-defined security attributes in AC-16a for organization-defined systems.,,,,,
AC-16,Security and Privacy Attributes,CCI-002270,Defines the attribute values or ranges permitted for each of the established security attributes.,,,,,
AC-16,Security and Privacy Attributes,CCI-002271,Determine organization-defined attribute values or ranges for each of the established attributes.,,,,,
AC-16,Security and Privacy Attributes,CCI-003696,Defines privacy attributes having organization-defined types of privacy attribute values which are associated with information in storage.,,,,,
AC-16,Security and Privacy Attributes,CCI-003697,Defines privacy attributes having organization-defined types of privacy attribute values which are associated with information in process.,,,,,
AC-16,Security and Privacy Attributes,CCI-003698,"Defines privacy attributes, having organization-defined types of privacy attribute values, which are associated with information in transmission.",,,,,
